,hrs,absences,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,Attrition
0,5.839499107541111,6,3,3,3.0,3.0,4.0,40,2,1,1,1,1,1,1,1,0,2,22130,1.0,8,0,21.0,4,20,4,0
1,7.204763498438056,10,3,3,3.0,4.0,3.0,42,2,1,28,4,1,1,0,2,4,1,26450,1.0,8,0,10.0,5,10,2,0
2,6.272836903168056,12,2,3,2.0,1.0,3.0,38,2,2,2,4,1,1,0,1,6,0,107250,3.0,8,0,11.0,5,7,1,0
3,6.038788487282222,13,4,3,3.0,2.0,3.0,40,1,1,10,4,3,1,1,2,4,1,65670,1.0,8,1,8.0,3,8,3,0
4,6.726166889781111,17,3,3,2.0,2.0,3.0,36,1,1,3,3,1,1,0,2,2,2,20180,1.0,8,0,6.0,5,6,0,0
5,7.877561356537222,4,3,3,4.0,1.0,3.0,32,2,1,10,1,3,1,1,1,7,2,23420,4.0,8,2,9.0,2,6,0,0
6,7.235296742525556,9,1,3,4.0,2.0,3.0,33,2,1,4,3,1,1,1,1,1,1,33060,1.0,8,3,8.0,6,8,1,0
7,5.8017838018738885,20,2,3,3.0,2.0,1.0,39,2,2,2,4,2,1,0,4,0,1,138720,9.0,8,3,12.0,3,8,3,0
8,6.870745203034167,14,2,3,1.0,4.0,3.0,31,2,1,8,5,1,1,1,5,7,1,131200,1.0,8,2,13.0,6,12,5,0
9,7.520240963855278,15,3,3,2.0,4.0,3.0,53,2,1,24,3,1,1,1,4,5,1,133200,3.0,8,0,11.0,2,4,1,0
10,5.967877063810556,10,2,3,1.0,4.0,2.0,40,2,1,1,4,3,1,1,2,5,1,50710,8.0,8,1,8.0,3,1,0,0
11,7.573883311021667,11,3,3,1.0,4.0,3.0,40,2,2,1,4,2,1,1,1,7,1,48690,4.0,8,0,14.0,2,11,11,0
12,9.46033132530111,16,2,3,1.0,2.0,3.0,26,2,1,4,3,3,1,1,3,6,0,68540,2.0,8,0,5.0,5,3,0,1
13,9.773067826862778,17,2,3,1.0,3.0,3.0,30,2,2,2,3,1,1,1,2,0,1,40000,4.0,8,0,7.0,5,5,0,1
